Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
460,0,0,0,0,0,0,0,0,0,0,0,0,-112.00,-116.00,-123.00,-103.00,-50.00,-42.00,-45.00,-45.00,-45.00,-96.00,-111.00,-113.00
462,0,0,0,0,0,0,0,0,0,0,0,0,22585.00,14624.00,20449.00,16988.00,21257.00,20535.00,20825.00,21189.00,19814.00,18700.00,18576.00,8105.00
465,1054.50,1274.00,1105.20,1431.40,1701.40,1627.60,1896.40,2138.20,1286.60,2120.90,1695.40,1246.10,65657.00,63016.00,53517.00,21128.00,56281.00,71796.00,90678.00,86394.00,70346.00,58571.00,83122.00,71660.00
469,1167.60,1203.60,1186.00,1531.10,841.70,1155.30,1305.60,1412.70,1211.10,1335.00,1238.40,1289.60,288617.00,257668.00,234061.00,239330.00,164058.00,223895.00,290458.00,281464.00,221247.00,269078.00,297144.00,253286.00
470,3266.00,2091.50,1426.30,1974.50,1877.00,1663.60,2002.40,2002.30,2176.40,3050.80,2562.40,2870.10,510339.00,741301.00,813181.00,764639.00,682406.00,858375.00,981468.00,850649.00,739642.00,875220.00,429438.00,875127.00
477,2194.50,1780.10,2017.50,2094.70,2167.90,1781.50,1771.10,9729.00,1527.90,2127.50,3562.90,2996.90,88641.00,82671.00,86327.00,81749.00,95836.00,99116.00,76500.00,109570.00,25261.00,55426.00,107713.00,100473.00
478,369.00,0,0,0,303.20,323.90,386.40,410.10,472.70,0,0,0,-16.00,-101.00,-94.00,-80.00,-42.00,413.00,164.00,411.00,90.00,-31.00,-30.00,-66.00
492,734.20,1321.00,831.20,658.80,1239.30,672.60,727.10,851.30,720.50,1029.70,696.90,769.00,144589.00,120776.00,87558.00,65341.00,69238.00,113236.00,146656.00,138248.00,124669.00,124677.00,133677.00,140072.00
493,0,0,0,0,0,0,0,0,0,0,0,0,0.00,999.00,0.00,0.00,2424.00,2758.00,0.00,0.00,0.00,3329.00,1286.00,191.00
508,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525,735.10,705.30,707.40,245.30,614.30,221.00,615.00,725.20,970.00,3807.60,739.80,808.30,280200.00,222896.00,195897.00,102240.00,134656.00,131668.00,229642.00,250090.00,230270.00,217741.00,236144.00,245683.00
