Plant_Id,fuel_cost_2014.01,fuel_cost_2014.02,fuel_cost_2014.03,fuel_cost_2014.04,fuel_cost_2014.05,fuel_cost_2014.06,fuel_cost_2014.07,fuel_cost_2014.08,fuel_cost_2014.09,fuel_cost_2014.10,fuel_cost_2014.11,fuel_cost_2014.12,generation_MWh_2014.01,generation_MWh_2014.02,generation_MWh_2014.03,generation_MWh_2014.04,generation_MWh_2014.05,generation_MWh_2014.06,generation_MWh_2014.07,generation_MWh_2014.08,generation_MWh_2014.09,generation_MWh_2014.10,generation_MWh_2014.11,generation_MWh_2014.12
55297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80
55294,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
55295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
55298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80
55299,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20
345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
50648,0,0,0,0,0,0,0,0,0,0,0,0,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80
50649,0,0,0,0,0,0,0,0,0,0,0,0,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80
7513,0,0,0,0,0,0,0,0,0,0,0,0,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80
341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
50640,0,0,0,0,0,0,0,0,0,0,0,0,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80
3992,0,0,0,0,0,0,0,0,0,0,0,0,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
56234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
56237,476.80,601.80,541.80,480.30,482.80,465.70,466.30,411.00,427.50,413.40,393.40,443.30,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80,3400.80
56233,0,0,0,0,0,0,0,0,0,0,0,0,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
6155,3013.60,2771.10,2648.20,3035.80,2619.20,2981.10,3003.30,2979.20,2693.10,2431.40,2726.60,2189.70,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
6156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80,566.80
56124,0,0,0,0,0,0,0,0,0,0,0,0,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
3776,2535.90,3013.40,2703.80,2201.40,0,2266.30,2135.50,0,0,0,1835.30,0,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
3775,4928.60,4531.10,4517.20,3477.40,3029.10,2630.20,2587.00,2538.00,2490.30,2350.10,2248.70,395.80,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
